indicator_code,round,n_experts,median_relevance,q1_relevance,q3_relevance,iqr_relevance,mean_relevance,n_rating_7_9,pct_rating_7_9,I_CVI,kappa_star,kappa_evaluation,consensus_rule_pct,consensus_rule_median_iqr,consensus,retain,mean_clarity,mean_feasibility
D10.2,1,18,7.0,4.25,8.0,3.75,6.388888888888889,10,55.55555555555556,0.5555555555555556,0.46650222796129587,fair,False,False,False,False,2.9444444444444446,2.7777777777777777
D10.3,1,18,8.0,7.0,9.0,2.0,7.333333333333333,14,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,False,True,True,False,4.222222222222222,4.222222222222222
D10.4,1,18,8.0,7.0,8.75,1.75,7.833333333333333,18,100.0,1.0,1.0,excellent,True,True,True,True,4.444444444444445,4.166666666666667
D10.5,1,18,8.0,8.0,9.0,1.0,8.166666666666666,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.5,4.166666666666667
D1.1,2,18,8.0,8.0,8.0,0.0,7.888888888888889,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.5,4.222222222222222
D1.2,2,18,8.0,5.0,8.0,3.0,6.777777777777778,10,55.55555555555556,0.5555555555555556,0.46650222796129587,fair,False,False,False,False,2.7777777777777777,2.611111111111111
D1.3,2,18,8.0,7.0,8.0,1.0,7.222222222222222,14,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,False,True,True,False,3.7222222222222223,3.7222222222222223
D1.4,2,18,8.0,8.0,8.0,0.0,8.055555555555555,18,100.0,1.0,1.0,excellent,True,True,True,True,4.555555555555555,4.222222222222222
D1.5,2,18,8.0,8.0,9.0,1.0,7.944444444444445,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.222222222222222,4.0
D2.1,2,18,8.0,7.25,8.0,0.75,7.833333333333333,18,100.0,1.0,1.0,excellent,True,True,True,True,4.222222222222222,4.111111111111111
D2.2,2,18,8.0,8.0,8.0,0.0,7.777777777777778,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.5,4.166666666666667
D2.3,2,18,8.0,8.0,8.0,0.0,7.777777777777778,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.222222222222222,4.0
D2.4,2,18,8.0,8.0,9.0,1.0,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.5,4.444444444444445
D2.5,2,18,8.0,7.0,8.75,1.75,7.666666666666667,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,3.7222222222222223,3.0555555555555554
D3.1,2,18,8.0,7.0,8.0,1.0,7.0,14,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,False,True,True,False,3.611111111111111,3.1666666666666665
D3.2,2,18,8.0,8.0,8.0,0.0,8.11111111111111,18,100.0,1.0,1.0,excellent,True,True,True,True,4.222222222222222,4.166666666666667
D3.3,2,18,8.0,8.0,8.0,0.0,7.944444444444445,18,100.0,1.0,1.0,excellent,True,True,True,True,4.166666666666667,4.333333333333333
D3.4,2,18,8.0,8.0,9.0,1.0,8.166666666666666,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.388888888888889,4.166666666666667
D3.5,2,18,7.0,6.0,8.0,2.0,6.944444444444445,12,66.66666666666666,0.6666666666666666,0.6412622820702302,good,False,True,True,False,3.6666666666666665,3.5
D4.1,2,18,8.0,8.0,8.75,0.75,8.0,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.055555555555555,4.222222222222222
D4.2,2,18,8.0,8.0,8.0,0.0,8.055555555555555,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.444444444444445,4.277777777777778
D4.3,2,18,8.0,8.0,8.0,0.0,8.11111111111111,18,100.0,1.0,1.0,excellent,True,True,True,True,4.277777777777778,4.222222222222222
D4.4,2,18,8.0,8.0,9.0,1.0,8.277777777777779,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.222222222222222,4.388888888888889
D4.5,2,18,8.0,8.0,9.0,1.0,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.277777777777778,4.222222222222222
D5.1,2,18,8.0,8.0,9.0,1.0,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.222222222222222,4.111111111111111
D5.2,2,18,8.0,8.0,9.0,1.0,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.055555555555555,4.388888888888889
D5.3,2,18,8.0,8.0,8.0,0.0,7.888888888888889,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.333333333333333,4.111111111111111
D5.4,2,18,8.0,8.0,8.75,0.75,7.833333333333333,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.277777777777778,4.055555555555555
D5.5,2,18,8.0,8.0,8.75,0.75,8.277777777777779,18,100.0,1.0,1.0,excellent,True,True,True,True,4.388888888888889,4.333333333333333
D6.1,2,18,8.0,8.0,8.75,0.75,7.611111111111111,15,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,True,True,4.444444444444445,4.333333333333333
D6.2,2,18,5.5,5.0,8.0,3.0,6.166666666666667,7,38.88888888888889,0.3888888888888889,0.3044498475550924,poor,False,False,False,False,2.6666666666666665,2.8333333333333335
D6.3,2,18,8.0,8.0,8.0,0.0,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.166666666666667,3.888888888888889
D6.4,2,18,8.0,8.0,8.0,0.0,8.11111111111111,18,100.0,1.0,1.0,excellent,True,True,True,True,4.388888888888889,4.0
D6.5,2,18,8.0,8.0,8.0,0.0,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.222222222222222,4.333333333333333
D7.1,2,18,8.0,7.25,8.0,0.75,7.611111111111111,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,3.5,3.611111111111111
D7.2,2,18,8.0,8.0,8.0,0.0,7.944444444444445,18,100.0,1.0,1.0,excellent,True,True,True,True,4.222222222222222,4.111111111111111
D7.3,2,18,5.0,5.0,6.75,1.75,5.777777777777778,5,27.77777777777778,0.2777777777777778,0.2533748374364206,poor,False,False,False,False,3.0,2.888888888888889
D7.4,2,18,8.0,8.0,8.0,0.0,8.055555555555555,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,3.7222222222222223,3.2222222222222223
D7.5,2,18,8.0,7.25,8.0,0.75,7.666666666666667,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,3.5555555555555554,3.2222222222222223
D8.1,2,18,8.0,7.25,9.0,1.75,8.11111111111111,18,100.0,1.0,1.0,excellent,True,True,True,True,4.055555555555555,3.8333333333333335
D8.2,2,18,8.0,8.0,9.0,1.0,8.222222222222221,18,100.0,1.0,1.0,excellent,True,True,True,True,4.333333333333333,4.333333333333333
D8.3,2,18,8.0,7.0,8.0,1.0,7.888888888888889,18,100.0,1.0,1.0,excellent,True,True,True,True,4.555555555555555,4.5
D8.4,2,18,8.0,8.0,8.0,0.0,8.0,18,100.0,1.0,1.0,excellent,True,True,True,True,4.333333333333333,3.888888888888889
D8.5,2,18,8.0,8.0,8.0,0.0,7.944444444444445,18,100.0,1.0,1.0,excellent,True,True,True,True,4.277777777777778,4.111111111111111
D9.1,2,18,7.0,5.0,8.75,3.75,6.5,10,55.55555555555556,0.5555555555555556,0.46650222796129587,fair,False,False,False,False,3.5,3.4444444444444446
D9.2,2,18,5.5,4.0,6.0,2.0,5.555555555555555,4,22.22222222222222,0.2222222222222222,0.21303601234434477,poor,False,False,False,False,2.9444444444444446,2.4444444444444446
D9.3,2,18,8.0,8.0,8.0,0.0,7.944444444444445,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.388888888888889,4.055555555555555
D9.4,2,18,6.0,5.0,6.75,1.75,5.944444444444445,5,27.77777777777778,0.2777777777777778,0.2533748374364206,poor,False,False,False,False,2.6666666666666665,3.0555555555555554
D9.5,2,18,8.0,7.25,8.0,0.75,7.555555555555555,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.277777777777778,4.0
D10.1,2,18,8.0,7.25,8.0,0.75,7.722222222222222,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.666666666666667,4.277777777777778
D10.2,2,18,4.0,4.0,6.75,2.75,5.166666666666667,5,27.77777777777778,0.2777777777777778,0.2533748374364206,poor,False,False,False,False,2.9444444444444446,2.9444444444444446
D10.3,2,18,8.0,8.0,8.0,0.0,8.0,18,100.0,1.0,1.0,excellent,True,True,True,True,4.5,4.333333333333333
D10.4,2,18,8.0,8.0,8.0,0.0,8.0,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.444444444444445,4.222222222222222
D10.5,2,18,8.0,8.0,8.0,0.0,7.777777777777778,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.444444444444445,4.222222222222222
