level,group,expert_id,n_items,lambda_max,CI,RI,CR,consistent,flag
indicator,D5,E05,5,5.0263533644970355,0.0065883411242588785,1.12,0.005882447432373998,True,
indicator,D5,E06,5,5.026353364497035,0.0065883411242586565,1.12,0.0058824474323738,True,
indicator,D5,E07,5,5.019791055677093,0.004947763919273207,1.12,0.004417646356493934,True,
indicator,D5,E08,5,5.019791055677093,0.004947763919273207,1.12,0.004417646356493934,True,
indicator,D6,AIJ_GROUP,5,5.0203928913486875,0.005098222837171873,1.12,0.004551984676046315,True,
indicator,D6,E01,5,5.077292089857002,0.01932302246425044,1.12,0.017252698628795034,True,
indicator,D6,E02,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D6,E03,5,5.04053753017921,0.01013438254480259,1.12,0.00904855584357374,True,
indicator,D6,E04,5,5.019791055677092,0.004947763919272985,1.12,0.004417646356493736,True,
indicator,D6,E05,5,5.074451282938322,0.018612820734580593,1.12,0.016618589941589813,True,
indicator,D6,E06,5,5.049063585237511,0.0122658963093778,1.12,0.010951693133373035,True,
indicator,D6,E07,5,5.049063585237511,0.0122658963093778,1.12,0.010951693133373035,True,
indicator,D6,E08,5,5.094951595225533,0.023737898806383217,1.12,0.0211945525056993,True,
indicator,D7,AIJ_GROUP,5,5.005810893908569,0.0014527234771422037,1.12,0.0012970745331626818,True,
indicator,D7,E01,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D7,E02,5,5.009947222358187,0.0024868055895468366,1.12,0.002220362133523961,True,
indicator,D7,E03,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D7,E04,5,5.0,0.0,1.12,0.0,True,
indicator,D7,E05,5,5.074451282938322,0.018612820734580593,1.12,0.016618589941589813,True,
indicator,D7,E06,5,5.058192806331159,0.0145482015827898,1.12,0.012989465698919463,True,
indicator,D7,E07,5,5.019791055677094,0.004947763919273429,1.12,0.004417646356494133,True,
indicator,D7,E08,5,5.019791055677093,0.004947763919273207,1.12,0.004417646356493934,True,
indicator,D8,AIJ_GROUP,5,5.014937910230019,0.0037344775575047784,1.12,0.0033343549620578374,True,
indicator,D8,E01,5,5.071182589857555,0.017795647464388775,1.12,0.01588897095034712,True,
indicator,D8,E02,5,5.081250933206604,0.020312733301651065,1.12,0.018136369019331307,True,
indicator,D8,E03,5,5.087928097798359,0.021982024449589854,1.12,0.019626807544276655,True,
indicator,D8,E04,5,5.045738426343167,0.011434606585791762,1.12,0.010209470165885502,True,
indicator,D8,E05,5,5.08801528264947,0.02200382066236739,1.12,0.019646268448542312,True,
indicator,D8,E06,5,5.029746993094345,0.007436748273586202,1.12,0.006639953815701966,True,
indicator,D8,E07,5,5.087928097798359,0.021982024449589854,1.12,0.019626807544276655,True,
indicator,D8,E08,5,5.095439930794204,0.023859982698551052,1.12,0.02130355598084915,True,
indicator,D9,AIJ_GROUP,5,5.027056541856686,0.006764135464171428,1.12,0.006039406664438775,True,
indicator,D9,E01,5,5.133856829885488,0.03346420747137202,1.12,0.02987875667086787,True,
indicator,D9,E02,5,5.087316045541055,0.02182901138526372,1.12,0.019490188736842603,True,
indicator,D9,E03,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D9,E04,5,5.081250933206605,0.020312733301651287,1.12,0.018136369019331505,True,
indicator,D9,E05,5,5.075031351146275,0.0187578377865687,1.12,0.016748069452293478,True,
indicator,D9,E06,5,5.074451282938322,0.018612820734580593,1.12,0.016618589941589813,True,
indicator,D9,E07,5,5.097235615245175,0.024308903811293803,1.12,0.021704378402940892,True,
indicator,D9,E08,5,5.05819280633116,0.014548201582790021,1.12,0.01298946569891966,True,
