indicator_code,indicator_name,domain_code,domain_name,pillar_code,pillar_name,pillar_weight,domain_weight_within_pillar,indicator_weight_within_domain,global_weight
D6.2,"Annual exercise programme (notification, tabletop, deployment)",D6,Training & Exercises,B,Operational preparedness & response,0.15334081734161745,0.2602287138771573,0.15333679811808648,0.006118703088865933
D6.3,Full-scale multi-agency exercise conducted within the last three years,D6,Training & Exercises,B,Operational preparedness & response,0.15334081734161745,0.2602287138771573,0.15535580472035312,0.006199268889674007
D6.4,Exercise evaluation against pre-defined performance objectives,D6,Training & Exercises,B,Operational preparedness & response,0.15334081734161745,0.2602287138771573,0.23998505829242783,0.009576287854430866
D6.5,Competency records and refresher-training cycle maintained,D6,Training & Exercises,B,Operational preparedness & response,0.15334081734161745,0.2602287138771573,0.08289790988328684,0.0033079319738551923
D7.1,Dedicated standing response fund or ring-fenced budget line,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.09401843150123979,0.013956640164282958
D7.2,Emergency procurement and rapid disbursement mechanism,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.1924537479956856,0.028568948302524672
D7.3,"Compensation claims-handling capacity (CLC/FUND, IOPC procedures)",D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.1813951433832664,0.026927345025059026
D7.4,Cost-recovery and polluter-pays enforcement mechanism,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.3404946382057312,0.05054499492732378
D7.5,Verification of vessel insurance and financial security certificates,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.191638038914077,0.028447859725008903
D8.1,Port oil spill contingency plan exists and is formally approved,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",0.4330169642133335,0.3143650230245258,0.14048347317433962,0.01912336728289916
D8.2,Plan review and update cycle of three years or less demonstrably observed,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",0.4330169642133335,0.3143650230245258,0.10196712498620897,0.013880314444338014
D8.3,Environmental sensitivity mapping and resource atlas currency,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",0.4330169642133335,0.3143650230245258,0.1145937396502279,0.015599117263656263
D8.4,Scenario-based risk assessment underpinning the plan,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",0.4330169642133335,0.3143650230245258,0.35613731894241246,0.04847933069558215
D8.5,Controlled distribution and operational accessibility of plan documents,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",0.4330169642133335,0.3143650230245258,0.2868183432468111,0.039043258238459284
D9.1,Standing multi-agency coordination committee with terms of reference,D9,Stakeholder Coordination,A,Governance & legal foundation,0.413642218445049,0.1674988678675146,0.16753676165167158,0.011607718067821021
D9.2,Terminal operators and industry integrated into the port plan,D9,Stakeholder Coordination,A,Governance & legal foundation,0.413642218445049,0.1674988678675146,0.4037299411176616,0.02797226880733993
D9.3,"Public, media and affected-community communication protocol",D9,Stakeholder Coordination,A,Governance & legal foundation,0.413642218445049,0.1674988678675146,0.12659580225494202,0.00877113993763485
D9.4,Regional cooperation arrangements (Bay of Bengal / SACEP mechanisms),D9,Stakeholder Coordination,A,Governance & legal foundation,0.413642218445049,0.1674988678675146,0.20809208156576187,0.014417577319438891
D9.5,"Joint planning with fisheries, environment and coastal authorities",D9,Stakeholder Coordination,A,Governance & legal foundation,0.413642218445049,0.1674988678675146,0.09404541340996299,0.006515899159518181
D10.1,Incident and near-miss database with systematic record keeping,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.20143175112967512,0.02990169505371084
D10.2,Mandatory after-action review following incidents and exercises,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.13039808401258282,0.019357046353741376
D10.3,Corrective actions tracked to documented closure,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.09817326672543147,0.014573407953747375
D10.4,Readiness performance indicators monitored and reported periodically,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.37738897559029455,0.05602180391843328
D10.5,Independent audit or external peer review of preparedness,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",0.4330169642133335,0.34281748848773713,0.19260792254201606,0.028591834864566474
