indicator_code,indicator_name,domain_code,domain_name,pillar_code,pillar_name,doc_score,field_score,final_score,implementation_gap,evidence_source,weight,weighted_score,max_weighted_score,score_0_100,contribution_pct,shortfall_share_pct,weighting
D3.5,Logged notification drill performance and response-time records,D3,Notification & Reporting,B,Operational preparedness & response,2,2,2,0,Site inspection checklist,0.004097076846274247,0.008194153692548493,0.01229123053882274,66.66666666666667,0.5343515452121648,0.2793733593478983,AHP
D4.1,Tier 1/2/3 definitions adopted with quantitative activation triggers,D4,Tiered Response Arrangements,B,Operational preparedness & response,0,0,0,0,Inter-agency memorandum of understanding,0.0050399248307667465,0.0,0.01511977449230024,0.0,0.0,1.0309941333753139,AHP
D4.2,Tier 2 regional and mutual-aid agreements formally concluded,D4,Tiered Response Arrangements,B,Operational preparedness & response,1,1,1,0,Site inspection checklist,0.010590089240964495,0.010590089240964495,0.031770267722893486,33.333333333333336,0.6905936552044493,1.444243746481218,AHP
D4.3,"Tier 3 international assistance arrangements (e.g. OSRL, regional centre)",D4,Tiered Response Arrangements,B,Operational preparedness & response,2,2,2,0,Gazette notification (statutory instrument),0.01156754879321234,0.02313509758642468,0.03470264637963702,66.66666666666667,1.508670157746994,0.7887733345102454,AHP
D4.4,Documented activation criteria and escalation decision protocol,D4,Tiered Response Arrangements,B,Operational preparedness & response,2,2,2,0,Inter-agency memorandum of understanding,0.0037748248778522674,0.007549649755704535,0.011324474633556802,66.66666666666667,0.4923225953694163,0.2573994939915796,AHP
D4.5,Customs and immigration fast-track for cross-border response resources,D4,Tiered Response Arrangements,B,Operational preparedness & response,1,1,1,0,Gazette notification (statutory instrument),0.010697982948260461,0.010697982948260461,0.03209394884478138,33.333333333333336,0.6976295458376328,1.4589579579010907,AHP
D5.1,Containment boom inventory sufficiency and deployment capacity,D5,Resources & Equipment,B,Operational preparedness & response,2,1,1,1,Inter-agency memorandum of understanding,0.0040956364461425905,0.0040956364461425905,0.01228690933842777,33.333333333333336,0.2670818422180334,0.5585502813631886,AHP
D5.2,Mechanical recovery (skimmer) capacity against the design scenario,D5,Resources & Equipment,B,Operational preparedness & response,1,0,0,1,Exercise after-action report,0.010032219464995227,0.0,0.03009665839498568,0.0,0.0,2.0522447775416834,AHP
D5.3,Temporary storage and oily-waste handling and disposal capacity,D5,Resources & Equipment,B,Operational preparedness & response,1,0,0,1,Exercise after-action report,0.0038150956313329682,0.0,0.011445286893998905,0.0,0.0,0.7804364839250356,AHP
D5.4,"Dispersant policy, approved stockpile and application capability",D5,Resources & Equipment,B,Operational preparedness & response,1,1,1,0,IMO / regional convention status record,0.010164315071423728,0.010164315071423728,0.030492945214271185,33.333333333333336,0.6628283613202952,1.3861779768941354,AHP
D5.5,"Equipment maintenance, testing and readiness certification regime",D5,Resources & Equipment,B,Operational preparedness & response,0,0,0,0,Gazette notification (statutory instrument),0.01010463179164155,0.0,0.03031389537492465,0.0,0.0,2.0670578325897804,AHP
D6.1,IMO OPRC Level 1/2/3 training coverage of designated personnel,D6,Training & Exercises,B,Operational preparedness & response,1,0,0,1,Inter-agency memorandum of understanding,0.014701491874855204,0.0,0.04410447562456561,0.0,0.0,3.007416257939433,AHP
D6.2,"Annual exercise programme (notification, tabletop, deployment)",D6,Training & Exercises,B,Operational preparedness & response,2,2,2,0,IMO / regional convention status record,0.006118703088865933,0.012237406177731867,0.018356109266597802,66.66666666666667,0.7980173604024959,0.4172249388837592,AHP
D6.3,Full-scale multi-agency exercise conducted within the last three years,D6,Training & Exercises,B,Operational preparedness & response,2,2,2,0,Exercise after-action report,0.006199268889674007,0.012398537779348014,0.01859780666902202,66.66666666666667,0.8085249641815655,0.42271859674394147,AHP
D6.4,Exercise evaluation against pre-defined performance objectives,D6,Training & Exercises,B,Operational preparedness & response,0,0,0,0,Inter-agency memorandum of understanding,0.009576287854430866,0.0,0.028728863563292597,0.0,0.0,1.958976954806974,AHP
D6.5,Competency records and refresher-training cycle maintained,D6,Training & Exercises,B,Operational preparedness & response,2,0,1,2,Training records and certificates,0.0033079319738551923,0.0033079319738551923,0.009923795921565576,33.333333333333336,0.21571459701734017,0.45112557206274534,AHP
D7.1,Dedicated standing response fund or ring-fenced budget line,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",0,0,0,0,"Key-informant interview, port authority",0.013956640164282958,0.0,0.04186992049284888,0.0,0.0,2.855045385432249,AHP
D7.2,Emergency procurement and rapid disbursement mechanism,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",2,1,1,1,IMO / regional convention status record,0.028568948302524672,0.028568948302524672,0.08570684490757402,33.333333333333336,1.8630187135033611,3.896145158990997,AHP
D7.3,"Compensation claims-handling capacity (CLC/FUND, IOPC procedures)",D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",1,0,0,1,Budget allocation document,0.026927345025059026,0.0,0.08078203507517707,0.0,0.0,5.508402541786571,AHP
D7.4,Cost-recovery and polluter-pays enforcement mechanism,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",2,2,2,0,Site inspection checklist,0.05054499492732378,0.10108998985464757,0.15163498478197135,66.66666666666667,6.59221126562892,3.4465853487493283,AHP
D7.5,Verification of vessel insurance and financial security certificates,D7,Funding & Liability Arrangements,C,"Resilience, financing & continuity",1,1,1,0,Gazette notification (statutory instrument),0.028447859725008903,0.028447859725008903,0.0853435791750267,33.333333333333336,1.8551223680196374,3.879631471819129,AHP
D8.1,Port oil spill contingency plan exists and is formally approved,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",3,2,2,1,Equipment inventory register,0.01912336728289916,0.03824673456579832,0.05737010184869748,66.66666666666667,2.4941198910070237,1.3039929589618473,AHP
D8.2,Plan review and update cycle of three years or less demonstrably observed,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",0,0,0,0,Exercise after-action report,0.013880314444338014,0.0,0.04164094333301404,0.0,0.0,2.839431785600659,AHP
D8.3,Environmental sensitivity mapping and resource atlas currency,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",1,1,1,0,IMO / regional convention status record,0.015599117263656263,0.015599117263656263,0.04679735179096879,33.333333333333336,1.0172389640873398,2.1273595572279556,AHP
D8.4,Scenario-based risk assessment underpinning the plan,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",1,0,0,1,Equipment inventory register,0.04847933069558215,0.0,0.14543799208674646,0.0,0.0,9.917192659697466,AHP
D8.5,Controlled distribution and operational accessibility of plan documents,D8,Plan Currency & Documentation,C,"Resilience, financing & continuity",1,2,2,-1,IMO / regional convention status record,0.039043258238459284,0.07808651647691857,0.11712977471537786,66.66666666666667,5.0921244957390295,2.66229964026302,AHP
D9.1,Standing multi-agency coordination committee with terms of reference,D9,Stakeholder Coordination,A,Governance & legal foundation,0,0,0,0,IMO / regional convention status record,0.011607718067821021,0.0,0.03482315420346306,0.0,0.0,2.3745372464171135,AHP
D9.2,Terminal operators and industry integrated into the port plan,D9,Stakeholder Coordination,A,Governance & legal foundation,2,1,1,1,Inter-agency memorandum of understanding,0.02797226880733993,0.02797226880733993,0.08391680642201979,33.333333333333336,1.82410845843476,3.8147718475895487,AHP
D9.3,"Public, media and affected-community communication protocol",D9,Stakeholder Coordination,A,Governance & legal foundation,1,1,1,0,Equipment inventory register,0.00877113993763485,0.00877113993763485,0.026313419812904554,33.333333333333336,0.5719775775269395,1.196181044012343,AHP
D9.4,Regional cooperation arrangements (Bay of Bengal / SACEP mechanisms),D9,Stakeholder Coordination,A,Governance & legal foundation,2,3,3,-1,Equipment inventory register,0.014417577319438891,0.04325273195831667,0.04325273195831667,100.0,2.8205675685082126,0.0,AHP
D9.5,"Joint planning with fisheries, environment and coastal authorities",D9,Stakeholder Coordination,A,Governance & legal foundation,2,1,1,1,Exercise after-action report,0.006515899159518181,0.006515899159518181,0.019547697478554543,33.333333333333336,0.4249103586501445,0.8886182542668818,AHP
D10.1,Incident and near-miss database with systematic record keeping,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",2,2,2,0,Budget allocation document,0.02990169505371084,0.05980339010742168,0.08970508516113251,66.66666666666667,3.8998577658955162,2.038950527605617,AHP
D10.2,Mandatory after-action review following incidents and exercises,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",2,2,2,0,Equipment inventory register,0.019357046353741376,0.03871409270748275,0.05807113906122413,66.66666666666667,2.5245969304362035,1.3199271748625943,AHP
D10.3,Corrective actions tracked to documented closure,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",2,1,1,1,"Port contingency plan, Annex II",0.014573407953747375,0.014573407953747375,0.04372022386124212,33.333333333333336,0.9503511102279799,1.9874764813787702,AHP
D10.4,Readiness performance indicators monitored and reported periodically,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",1,1,1,0,Budget allocation document,0.05602180391843328,0.05602180391843328,0.16806541175529985,33.333333333333336,3.6532555542142187,7.640081035655695,AHP
D10.5,Independent audit or external peer review of preparedness,D10,"Monitoring, Review & After-Action Learning",C,"Resilience, financing & continuity",2,1,1,1,"Key-informant interview, port authority",0.028591834864566474,0.028591834864566474,0.08577550459369943,33.333333333333336,1.8645111763311881,3.8992663578171096,AHP
