indicator_code,indicator_name,domain_code,domain_name,pillar_code,median_relevance_r1,iqr_relevance_r1,pct_rating_7_9_r1,I_CVI_r1,kappa_star_r1,kappa_evaluation_r1,consensus_r1,retain_r1,mean_clarity_r1,mean_feasibility_r1,median_relevance_r2,iqr_relevance_r2,pct_rating_7_9_r2,I_CVI_r2,kappa_star_r2,kappa_evaluation_r2,consensus_r2,retain_r2,mean_clarity_r2,mean_feasibility_r2,final_retain,final_consensus,final_I_CVI,decision
D5.3,Temporary storage and oily-waste handling and disposal capacity,D5,Resources & Equipment,B,8.0,0.75,100.0,1.0,1.0,excellent,True,True,4.055555555555555,4.166666666666667,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.333333333333333,4.111111111111111,True,True,0.9444444444444444,RETAIN
D5.4,"Dispersant policy, approved stockpile and application capability",D5,Resources & Equipment,B,8.0,0.75,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.388888888888889,4.444444444444445,8.0,0.75,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.277777777777778,4.055555555555555,True,True,0.8888888888888888,RETAIN
D5.5,"Equipment maintenance, testing and readiness certification regime",D5,Resources & Equipment,B,8.5,1.0,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.388888888888889,4.388888888888889,8.0,0.75,100.0,1.0,1.0,excellent,True,True,4.388888888888889,4.333333333333333,True,True,1.0,RETAIN
D6.1,IMO OPRC Level 1/2/3 training coverage of designated personnel,D6,Training & Exercises,B,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.166666666666667,4.111111111111111,8.0,0.75,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,4.444444444444445,4.333333333333333,True,True,0.8333333333333334,RETAIN
D6.2,"Annual exercise programme (notification, tabletop, deployment)",D6,Training & Exercises,B,6.5,2.75,50.0,0.5,0.3861486296622394,poor,False,False,3.1666666666666665,3.0555555555555554,5.5,3.0,38.88888888888889,0.3888888888888889,0.3044498475550924,poor,False,False,2.6666666666666665,2.8333333333333335,False,False,0.3888888888888889,DROP
D6.3,Full-scale multi-agency exercise conducted within the last three years,D6,Training & Exercises,B,8.0,1.0,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.5,4.5,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.166666666666667,3.888888888888889,True,True,1.0,RETAIN
D6.4,Exercise evaluation against pre-defined performance objectives,D6,Training & Exercises,B,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.444444444444445,4.222222222222222,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.388888888888889,4.0,True,True,1.0,RETAIN
D6.5,Competency records and refresher-training cycle maintained,D6,Training & Exercises,B,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.388888888888889,4.055555555555555,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.222222222222222,4.333333333333333,True,True,1.0,RETAIN
D7.1,Dedicated standing response fund or ring-fenced budget line,D7,Funding & Liability Arrangements,C,8.0,1.75,72.22222222222221,0.7222222222222222,0.7128364759370848,good,True,False,3.5,3.611111111111111,8.0,0.75,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,3.5,3.611111111111111,True,True,0.9444444444444444,RETAIN
D7.2,Emergency procurement and rapid disbursement mechanism,D7,Funding & Liability Arrangements,C,8.0,0.75,100.0,1.0,1.0,excellent,True,True,4.444444444444445,4.5,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.222222222222222,4.111111111111111,True,True,1.0,RETAIN
D7.3,"Compensation claims-handling capacity (CLC/FUND, IOPC procedures)",D7,Funding & Liability Arrangements,C,5.5,4.0,44.44444444444444,0.4444444444444444,0.33312778495161977,poor,False,False,2.888888888888889,3.0,5.0,1.75,27.77777777777778,0.2777777777777778,0.2533748374364206,poor,False,False,3.0,2.888888888888889,False,False,0.2777777777777778,DROP
D7.4,Cost-recovery and polluter-pays enforcement mechanism,D7,Funding & Liability Arrangements,C,8.0,2.0,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,3.6666666666666665,3.2222222222222223,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,3.7222222222222223,3.2222222222222223,True,True,0.9444444444444444,RETAIN
D7.5,Verification of vessel insurance and financial security certificates,D7,Funding & Liability Arrangements,C,8.0,1.5,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,3.5,3.2777777777777777,8.0,0.75,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,3.5555555555555554,3.2222222222222223,True,True,0.8888888888888888,RETAIN
D8.1,Port oil spill contingency plan exists and is formally approved,D8,Plan Currency & Documentation,C,8.0,0.75,100.0,1.0,1.0,excellent,True,True,4.388888888888889,4.0,8.0,1.75,100.0,1.0,1.0,excellent,True,True,4.055555555555555,3.8333333333333335,True,True,1.0,RETAIN
D8.2,Plan review and update cycle of three years or less demonstrably observed,D8,Plan Currency & Documentation,C,8.0,1.75,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.277777777777778,4.166666666666667,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.333333333333333,4.333333333333333,True,True,1.0,RETAIN
D8.3,Environmental sensitivity mapping and resource atlas currency,D8,Plan Currency & Documentation,C,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.444444444444445,4.444444444444445,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.555555555555555,4.5,True,True,1.0,RETAIN
D8.4,Scenario-based risk assessment underpinning the plan,D8,Plan Currency & Documentation,C,8.0,0.0,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.222222222222222,3.9444444444444446,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.333333333333333,3.888888888888889,True,True,1.0,RETAIN
D8.5,Controlled distribution and operational accessibility of plan documents,D8,Plan Currency & Documentation,C,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.444444444444445,4.166666666666667,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.277777777777778,4.111111111111111,True,True,1.0,RETAIN
D9.1,Standing multi-agency coordination committee with terms of reference,D9,Stakeholder Coordination,A,8.0,1.5,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,3.5555555555555554,3.6666666666666665,7.0,3.75,55.55555555555556,0.5555555555555556,0.46650222796129587,fair,False,False,3.5,3.4444444444444446,False,False,0.5555555555555556,DROP
D9.2,Terminal operators and industry integrated into the port plan,D9,Stakeholder Coordination,A,6.5,3.0,50.0,0.5,0.3861486296622394,poor,False,False,2.7777777777777777,3.0,5.5,2.0,22.22222222222222,0.2222222222222222,0.21303601234434477,poor,False,False,2.9444444444444446,2.4444444444444446,False,False,0.2222222222222222,DROP
D9.3,"Public, media and affected-community communication protocol",D9,Stakeholder Coordination,A,8.0,1.0,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.166666666666667,4.166666666666667,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.388888888888889,4.055555555555555,True,True,0.9444444444444444,RETAIN
D9.4,Regional cooperation arrangements (Bay of Bengal / SACEP mechanisms),D9,Stakeholder Coordination,A,5.0,3.0,44.44444444444444,0.4444444444444444,0.33312778495161977,poor,False,False,3.0555555555555554,2.7777777777777777,6.0,1.75,27.77777777777778,0.2777777777777778,0.2533748374364206,poor,False,False,2.6666666666666665,3.0555555555555554,False,False,0.2777777777777778,DROP
D9.5,"Joint planning with fisheries, environment and coastal authorities",D9,Stakeholder Coordination,A,8.0,0.75,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.555555555555555,4.222222222222222,8.0,0.75,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.277777777777778,4.0,True,True,0.9444444444444444,RETAIN
D10.1,Incident and near-miss database with systematic record keeping,D10,"Monitoring, Review & After-Action Learning",C,8.0,1.0,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,4.333333333333333,4.277777777777778,8.0,0.75,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.666666666666667,4.277777777777778,True,True,0.9444444444444444,RETAIN
D10.2,Mandatory after-action review following incidents and exercises,D10,"Monitoring, Review & After-Action Learning",C,7.0,3.75,55.55555555555556,0.5555555555555556,0.46650222796129587,fair,False,False,2.9444444444444446,2.7777777777777777,4.0,2.75,27.77777777777778,0.2777777777777778,0.2533748374364206,poor,False,False,2.9444444444444446,2.9444444444444446,False,False,0.2777777777777778,DROP
D10.3,Corrective actions tracked to documented closure,D10,"Monitoring, Review & After-Action Learning",C,8.0,2.0,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,True,False,4.222222222222222,4.222222222222222,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.5,4.333333333333333,True,True,1.0,RETAIN
D10.4,Readiness performance indicators monitored and reported periodically,D10,"Monitoring, Review & After-Action Learning",C,8.0,1.75,100.0,1.0,1.0,excellent,True,True,4.444444444444445,4.166666666666667,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.444444444444445,4.222222222222222,True,True,0.9444444444444444,RETAIN
D10.5,Independent audit or external peer review of preparedness,D10,"Monitoring, Review & After-Action Learning",C,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.5,4.166666666666667,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.444444444444445,4.222222222222222,True,True,0.9444444444444444,RETAIN
