Timestamp,Do you consent to take part in this study? Responses are anonymised and used only for academic research.,I am confident the port oil spill contingency plan would work in a real Tier 2 spill.,Are you aware of a designated On-Scene Commander for oil spill response at this port?,My own roles and responsibilities during a spill response are clear to me.,The oil spill response equipment currently available at this port is adequate.,Coordination between agencies during a spill response is effective.,Have you been given access to the port oil spill contingency plan?,How often does your organisation take part in oil spill response exercises?,I am confident in the notification and reporting chain for a reported spill.,The funding available for oil spill preparedness at this port is adequate.,Lessons from incidents and exercises are acted upon.,"In your view, what is the single greatest barrier to oil spill preparedness at this port?",Which of the following best describes your organisation?,"How many years have you worked in port operations, shipping or environmental regulation?","Have you received formal oil spill response training (e.g. IMO OPRC Level 1, 2 or 3)?",Any further comments on oil spill preparedness at this port?
3/31/2026 0:59:00,"Yes, I consent",  Neutral ,No,disagree,Agree,Disagree  ,No,Don’t know,Disagree,Strongly disagree,DISAGREE,Too few trained staff,Shipping line or vessel operator,5 to 10 years,No,Training budget has not increased in years
3/31/2026 19:44:00,"No, I do not consent",neutral,No,Neutral,Neutral  ,Neutral,No,Sometimes,Neutral,DISAGREE,  Strongly disagree ,Plan is out of date,Shipping agent,5 to 10 years,No,Exercises need to involve the terminals
3/24/2026 8:17:00,"Yes, I consent",Agree,Unsure,Neutral  ,Agree,Strongly agree,Unsure,Sometimes,DISAGREE,  Neutral ,disagree,Plan is out of date,Shipping line or vessel operator,5 to 10 years,Yes,Plan should be public
3/9/2026 2:02:00,"Yes, I consent",3,Unsure,3,3,3,Unsure,Sometimes,3,1,2,Equipment is not maintained,Chattogram Port Authority,Less than 5 years,No,Exercises need to involve the terminals
4/6/2026 6:16:00,"Yes, I consent",Agree,Yes,Neutral,NEUTRAL,  Agree ,Unsure,Rarely,neutral,Agree,Disagree  ,Unclear lines of authority,Chattogram Port Authority,11 to 20 years,Yes,Exercises need to involve the terminals
3/31/2026 21:15:00,"Yes, I consent",Neutral,Unsure,NEUTRAL,  Disagree ,neutral,No,Never,Strongly disagree,Disagree  ,Agree,Unclear lines of authority,"  OTHER GOVERNMENT AGENCY (COAST GUARD, DOE, DEPARTMENT OF SHIPPING, ETC.) ",More than 20 years,No,Training budget has not increased in years
3/31/2026 4:52:00,"Yes, I consent",NEUTRAL,Yes,  Neutral ,strongly agree,Agree,Yes,Never,Agree  ,Neutral,Disagree,Unclear lines of authority,Chattogram Port Authority,5 to 10 years,Yes,More boom stock is essential
3/4/2026 7:05:00,"Yes, I consent",3,Unsure,2,2,3,Unsure,Rarely,2,2,3,Too few trained staff,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",5 to 10 years,No,Plan should be public
3/9/2026 4:46:00,"Yes, I consent",4,Unsure,2,3,4,No,Never,3,2,2,Too few trained staff,Chattogram Port Authority,5 to 10 years,No,
3/4/2026 23:55:00,"Yes, I consent",2,No,2,3,2,No,Rarely,1,1,1,,,5 to 10 years,No,Response times must be logged
3/15/2026 20:10:00,"Yes, I consent",Neutral  ,No,Disagree,Neutral,DISAGREE,No,Sometimes,  Disagree ,disagree,Disagree,No dedicated budget,  BANGLADESH NAVY ,5 to 10 years,No,More boom stock is essential
3/9/2026 12:01:00,"Yes, I consent",3,No,1,3,3,No,Often,2,2,2,No dedicated budget,Bangladesh Navy,11 to 20 years,No,
3/29/2026 11:59:00,"Yes, I consent",Agree,Unsure,DISAGREE,  Neutral ,neutral,Unsure,Sometimes,Neutral,Neutral  ,Neutral,Unclear lines of authority,,More than 20 years,Yes,More boom stock is essential
4/10/2026 9:10:00,"Yes, I consent",DISAGREE,No,  Disagree ,disagree,Strongly disagree,No,Never,Disagree  ,Strongly disagree,Strongly disagree,Plan is out of date,Customs broker,11 to 20 years,No,
3/11/2026 19:51:00,"No, I do not consent",4,Unsure,2,4,3,Unsure,Sometimes,3,2,3,Agencies do not exercise together,Shipping agent,More than 20 years,Yes,More boom stock is essential
3/24/2026 8:14:00,"Yes, I consent",neutral,No,Strongly disagree,Agree  ,Neutral,No,Sometimes,Disagree,NEUTRAL,  Strongly disagree ,Equipment is not maintained,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",Less than 5 years,No,Exercises need to involve the terminals
3/5/2026 19:39:00,"Yes, I consent",3,No,3,2,3,No,Often,2,3,3,Agencies do not exercise together,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",Less than 5 years,No,
3/21/2026 13:50:00,"Yes, I consent",Agree  ,Unsure,Neutral,Neutral,AGREE,Unsure,Rarely,  Disagree ,disagree,Neutral,,Chattogram Port Authority,More than 20 years,Yes,
4/3/2026 16:43:00,"Yes, I consent",Agree,Unsure,Disagree,AGREE,  Neutral ,No,Don't know,agree,Disagree,Neutral  ,Unclear lines of authority,Shipping agent,More than 20 years,No,Exercises need to involve the terminals
3/24/2026 12:36:00,"Yes, I consent",Agree,Yes,NEUTRAL,  Strongly agree ,agree,Yes,Sometimes,Agree,Neutral  ,Neutral,Plan is out of date,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",11 to 20 years,Yes,More boom stock is essential
3/15/2026 20:50:00,"Yes, I consent",STRONGLY AGREE,Yes,  Agree ,agree,Strongly agree,Yes,Never,Neutral  ,Strongly agree,Neutral,Unclear lines of authority,  SHIPPING LINE OR VESSEL OPERATOR ,11 to 20 years,Yes,
3/15/2026 14:56:00,"Yes, I consent",  Agree ,Yes,neutral,Agree,Neutral  ,Yes,Never,Agree,Neutral,NEUTRAL,Equipment is not maintained,,5 to 10 years,Yes,Response times must be logged
4/11/2026 22:40:00,"Yes, I consent",agree,Yes,Strongly agree,Agree  ,Neutral,Yes,Rarely,Disagree,STRONGLY AGREE,  Neutral ,Too few trained staff,Shipping line or vessel operator,11 to 20 years,Yes,Plan should be public
3/20/2026 5:53:00,"Yes, I consent",Strongly agree,Yes,Agree  ,Agree,Neutral,Yes,Never,AGREE,  Disagree ,neutral,Plan is out of date,Shipping agent,5 to 10 years,Yes,Plan should be public
3/30/2026 22:02:00,"Yes, I consent",Disagree  ,No,Disagree,Neutral,STRONGLY DISAGREE,No,Often,  Disagree ,strongly disagree,Strongly disagree,Plan is out of date,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",More than 20 years,No,Plan should be public
3/6/2026 7:15:00,"Yes, I consent",4,Unsure,2,4,4,Unsure,Don't know,4,2,3,Plan is out of date,,11 to 20 years,Yes,Response times must be logged
4/4/2026 10:05:00,"Yes, I consent",Agree,Yes,NEUTRAL,  Strongly agree ,strongly agree,Yes,Don't know,Agree,Neutral  ,Disagree,,"  OTHER GOVERNMENT AGENCY (COAST GUARD, DOE, DEPARTMENT OF SHIPPING, ETC.) ",11 to 20 years,Yes,Plan should be public
3/13/2026 10:47:00,"Yes, I consent",2,Unsure,3,4,3,No,Often,3,3,2,Plan is out of date,Bangladesh Navy,11 to 20 years,No,More boom stock is essential
3/15/2026 9:11:00,"Yes, I consent",  Agree ,Yes,neutral,Agree,Neutral  ,Unsure,Sometimes,Disagree,Agree,DISAGREE,Equipment is not maintained,Master or ship's officer,11 to 20 years,Yes,
3/4/2026 12:46:00,"Yes, I consent",3,Unsure,3,3,3,Unsure,Don't know,3,2,1,No dedicated budget,Master or ship's officer,5 to 10 years,No,Plan should be public
4/4/2026 3:32:00,"Yes, I consent",Agree,Yes,Neutral  ,Agree,Agree,Yes,Sometimes,NEUTRAL,  Neutral ,neutral,,,More than 20 years,Yes,Plan should be public
3/28/2026 19:55:00,"Yes, I consent",Strongly disagree  ,No,Disagree,Agree,NEUTRAL,No,Never,  Disagree ,disagree,Strongly disagree,Too few trained staff,University researcher,11 to 20 years,No,Exercises need to involve the terminals
3/11/2026 19:23:00,"Yes, I consent",3,Yes,4,5,4,Yes,Never,2,3,3,,Shipping line or vessel operator,11 to 20 years,Yes,Training budget has not increased in years
3/20/2026 2:56:00,"Yes, I consent",Disagree,Unsure,NEUTRAL,  Agree ,disagree,Unsure,Rarely,Neutral,Disagree  ,Neutral,No dedicated budget,Chattogram Port Authority,More than 20 years,No,Training budget has not increased in years
3/4/2026 15:49:00,"Yes, I consent",3,No,2,4,2,No,Rarely,2,2,2,,Chattogram Port Authority,11 to 20 years,No,
4/3/2026 7:49:00,"Yes, I consent",  Disagree ,No,disagree,Disagree,Agree  ,No,Sometimes,Agree,Strongly disagree,DISAGREE,,Chattogram Port Authority,Less than 5 years,No,More boom stock is essential
3/13/2026 23:27:00,"Yes, I consent",3,Unsure,2,4,2,No,Never,2,3,2,No dedicated budget,Fisheries cooperative,More than 20 years,No,Exercises need to involve the terminals
