respondent_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12_raw,q12_group,q13,q14,q15
SRV-020,4,2,4,5,4,2,3,4,4,4,Too few trained staff,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",2,1,Exercises need to involve the terminals
SRV-021,4,2,4,4,3,2,2,4,4,3,No dedicated budget,Shipping line or vessel operator,Shipping line or vessel operator,4,1,
SRV-022,2,1,3,4,2,1,2,3,2,3,No dedicated budget,Chattogram Port Authority,Chattogram Port Authority,4,0,Training budget has not increased in years
SRV-023,5,2,4,4,3,2,1,4,2,3,Plan is out of date,Shipping agent,Shipping agent,2,1,Plan should be public
SRV-024,4,1,3,3,4,1,2,2,2,3,,Chattogram Port Authority,Chattogram Port Authority,4,1,
SRV-025,3,0,1,4,3,0,3,2,3,1,Equipment is not maintained,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",1,0,Exercises need to involve the terminals
SRV-026,4,1,3,4,5,1,3,2,3,2,Plan is out of date,Shipping line or vessel operator,Shipping line or vessel operator,2,1,Plan should be public
SRV-027,4,2,3,5,4,2,3,4,3,3,Plan is out of date,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",3,1,More boom stock is essential
SRV-028,4,0,4,3,4,0,4,1,1,1,Too few trained staff,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",3,0,Training budget has not increased in years
SRV-029,1,0,2,4,3,0,1,2,2,1,Too few trained staff,University researcher,Other,3,0,Exercises need to involve the terminals
SRV-030,4,1,2,3,3,1,3,3,3,3,Unclear lines of authority,,,4,1,More boom stock is essential
SRV-031,2,0,2,3,1,0,4,2,1,1,Plan is out of date,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",4,0,Plan should be public
SRV-032,3,0,2,4,2,0,,2,1,2,Too few trained staff,Shipping line or vessel operator,Shipping line or vessel operator,2,0,Training budget has not increased in years
SRV-033,3,2,3,5,4,2,1,4,3,2,Unclear lines of authority,Chattogram Port Authority,Chattogram Port Authority,2,1,More boom stock is essential
SRV-034,3,1,4,2,3,1,,2,3,3,Equipment is not maintained,Shipping agent,Shipping agent,2,1,
SRV-035,3,1,3,2,3,0,1,1,2,4,Unclear lines of authority,"OTHER GOVERNMENT AGENCY (COAST GUARD, DOE, DEPARTMENT OF SHIPPING, ETC.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",4,0,Training budget has not increased in years
SRV-036,2,0,3,3,3,0,3,2,2,2,,Bangladesh Navy,Bangladesh Navy,4,0,
SRV-037,2,0,2,2,4,0,3,4,1,2,,Chattogram Port Authority,Chattogram Port Authority,1,0,More boom stock is essential
SRV-038,2,0,2,4,3,0,2,2,2,2,Unclear lines of authority,BANGLADESH NAVY,Bangladesh Navy,2,0,Response times must be logged
SRV-039,4,1,2,4,3,0,,4,2,3,Unclear lines of authority,Shipping agent,Shipping agent,4,0,Exercises need to involve the terminals
SRV-040,4,2,3,4,4,2,3,3,3,3,,,,4,1,Plan should be public
SRV-041,4,2,3,5,5,2,,4,3,2,,"OTHER GOVERNMENT AGENCY (COAST GUARD, DOE, DEPARTMENT OF SHIPPING, ETC.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",3,1,Plan should be public
SRV-042,3,2,4,3,4,2,1,4,3,4,Unclear lines of authority,Chattogram Port Authority,Chattogram Port Authority,4,1,More boom stock is essential
SRV-043,4,2,3,3,4,1,2,3,4,2,Unclear lines of authority,Chattogram Port Authority,Chattogram Port Authority,3,1,Exercises need to involve the terminals
SRV-044,4,2,4,5,3,2,2,3,3,3,Equipment is not maintained,,,2,1,More boom stock is essential
SRV-045,2,1,3,5,3,0,3,3,3,2,,University researcher,Other,4,0,Response times must be logged
SRV-046,4,2,3,5,5,2,2,4,4,3,Unclear lines of authority,BANGLADESH NAVY,Bangladesh Navy,2,1,More boom stock is essential
SRV-047,3,2,2,4,5,2,3,3,3,4,,Chattogram Port Authority,Chattogram Port Authority,2,1,Plan should be public
SRV-048,2,0,2,2,1,0,1,2,1,1,Plan is out of date,Customs broker,Other,3,0,
SRV-049,5,2,4,4,3,2,2,3,3,4,Agencies do not exercise together,,,4,1,
SRV-050,4,2,5,4,3,2,2,2,5,3,Too few trained staff,Shipping line or vessel operator,Shipping line or vessel operator,3,1,Plan should be public
